group,case,freq_hz,freq_location,incl_degree,incl_location,incl_detectable,damping_present,damping_location,rail2_speed,rail3_speed,freq_defect,speed_defect,dominant_freq_hz,dominant_axis,peak_magnitude,freq_x,freq_y,freq_z,mag_x,mag_y,mag_z,peak_z,signed_peak_z,peak_jerk,impulse_energy,rise_time,post_impact_rms,journey_duration,duration_delta,rms_full,rms_first_half,rms_second_half,rms_ratio
1,1,35,3,0,0,0,0,0,70,100,1,0,34.89318413021363,acc_z,0.5707153575447006,35.02034587995931,34.96948118006104,34.89318413021363,0.17126367798895029,0.18957285706156393,0.5707153575447006,17.029415130615234,0.04025660878524139,306.9972970490847,36.97899415847949,0.44,8.211254269154265,39.509703509,-0.02041563300000604,2.1995195298193373,1.069785367368403,2.922131736249338,0.36609758352014315
1,2,0,0,1,4,1,0,0,70,100,0,0,29.258415590989625,acc_z,0.0452727101169229,49.93672487977727,49.63300430270818,29.258415590989625,0.0245275535846851,0.034217810053915776,0.0452727101169229,8.28805160522461,-4.909711270209978,219.4133180333407,1.6769083069421875,0.14,1.6804275060412286,40.049792000000004,0.5196728579999998,0.688985835913006,0.6809949332184784,0.6968890931037675,0.9771926981745395
1,3,0,0,0,0,0,1,4,70,100,0,0,47.633358377160036,acc_y,0.04222241324479992,46.882043576258454,47.633358377160036,27.322814926120714,0.030983521786923943,0.04222241324479992,0.041814789695498525,7.286142826080322,-4.503745411851485,251.64862136407726,1.6078171974208484,0.020000000000000018,1.768115310245305,40.001176,0.4710568579999972,0.6719804484413814,0.6571008377359145,0.6865160167173856,0.9571529603604569
1,4,0,0,0,0,0,0,0,100,70,0,1,27.352572145545796,acc_z,0.0625179309051759,49.761606022584694,33.27478042659975,27.352572145545796,0.01918257415570137,0.04230879603559917,0.0625179309051759,2.981645107269287,-0.9448907996856526,39.92198261727441,0.3340370758386033,0.22,0.6143752324712509,39.909723017000005,0.3796038750000008,0.6134846982925257,0.6420952330895043,0.5834574776117416,1.1005004781458692
1,5,30,6,4,4,1,0,0,70,100,1,0,30.005068423720225,acc_z,0.8802534367437407,29.979726305119108,29.979726305119108,30.005068423720225,0.7708550731684453,0.40990308846730394,0.8802534367437407,23.362220764160156,5.077558929025558,509.169794817731,21.56527259553516,0.1,3.3306957588582766,39.540274523,0.010155380999997021,2.4181400935625095,3.0960047212503743,1.4498179576703631,2.1354437671783173
1,6,30,6,0,0,0,1,4,70,100,1,0,29.959616355376074,acc_x,0.41724051812460267,29.959616355376074,29.959616355376074,29.959616355376074,0.41724051812460267,0.3902344683273049,0.28494456903305265,9.417596817016602,-5.240172450693376,309.5310414788808,2.359457018402939,0.07,2.146039696727026,39.630073597,0.09995445499999533,1.4490342164511592,1.9004224263077145,0.765681229671396,2.48200210827071
2,1,40,5,0,0,0,0,0,70,100,1,0,39.994946942900455,acc_z,0.9142888882396014,40.02021222839819,39.994946942900455,39.994946942900455,0.23216844284813043,0.203379327560191,0.9142888882396014,4.55825138092041,-0.025682556948534843,88.28068303170254,2.34647263594082,0.16,1.664555510898763,39.64990817100001,0.11978902900000321,2.1324005113385547,2.047523102521119,2.214350946461967,0.9246606125341599
2,2,0,0,0,5,0,0,0,70,100,0,0,49.92405063291139,acc_y,0.05422012854492295,47.56962025316456,49.92405063291139,29.49367088607595,0.02922013537607069,0.05422012854492295,0.0418649100858769,5.316548824310303,-2.3000793142689178,93.58325856377445,0.6415373292632148,0.25,1.082747742462166,39.490029466,-0.04008967600000091,0.6623796299597237,0.6804571448723467,0.6437947051376978,1.0569474079890224
2,3,0,0,0,0,0,1,5,70,100,0,0,33.16557624559638,acc_y,0.04856103949062467,49.64771011575239,33.16557624559638,29.164569703069954,0.0248925731402149,0.04856103949062467,0.04725175454373108,3.0049333572387695,-2.0084292781282227,97.13928779576028,0.38634994131593925,0.24,0.664644037507431,39.77997583,0.24985668799999416,0.6685204256605077,0.690746069348413,0.645530004515925,1.0700448693572269
2,4,0,0,0,0,0,0,0,80,100,0,1,49.31293751620431,acc_y,0.04589160729795621,33.108633653098266,49.31293751620431,49.209229971480426,0.027404354794160916,0.04589160729795621,0.03994004540893912,2.1125974655151367,-0.8950443313364119,46.179886367601256,0.5362960032753508,0.15,0.875341175815151,38.640201647000005,-0.8899174949999988,0.6657583203995683,0.6540825051528393,0.6772505812573131,0.9657909838017971
2,5,35,6,0,5,0,0,0,70,100,1,0,34.95245438190696,acc_y,0.7696510425286488,34.9781547160113,34.95245438190696,35.08095605242868,0.2839035794412796,0.7696510425286488,0.23559935678749386,8.130060195922852,-5.6084143549910435,186.95609332345478,1.9987563287461139,0.10999999999999999,1.9619582612368476,38.92989922700001,-0.6002199149999967,2.04068196687475,2.787095349958368,0.7501446835869947,3.7154103880750187
2,6,35,6,0,0,0,1,5,70,100,1,0,34.98079385403329,acc_y,0.3003278188521486,34.87836107554417,34.98079385403329,34.98079385403329,0.2571923695260628,0.3003278188521486,0.2707908216745799,2.7603840827941895,-1.8424135180116956,74.0090307652759,0.35103190280179486,0.25,0.7553575351543026,39.069888307,-0.4602308350000044,1.3890840646010845,1.828415653256088,0.7188386881143932,2.543568791563318
3,1,45,2,0,0,0,0,0,70,100,1,0,44.93717664449371,acc_z,0.45096691494083496,45.035723084503566,45.035723084503566,44.93717664449371,0.27441702977703913,0.4077886992239375,0.45096691494083496,2.836637496948242,0.3865531004905025,108.14588390527607,1.6573445114249687,0.24,1.9502215899004032,40.579909566000005,1.049790424000001,1.6820100712501056,1.791606930883865,1.5646957329248175,1.1450193754506457
