group,case,damping_present,damping_location,freq_defect,rms_P1,rms_P2,rms_P3,rms_P4,rms_ratio_P1,rms_ratio_P2,rms_ratio_P3,rms_ratio_P4,min_rms_ratio,min_rms_ratio_phone
1,1,0,0,1,0.1628226382828,0.048120947900307826,0.11016912115491515,0.08885989412119132,2.4770144138323347,1.5560490148439508,2.277756549053762,0.40404228111178053,0.40404228111178053,P4
1,2,0,0,0,0.02249417372384529,0.021943763309524886,0.055892573511211435,0.08474418108207522,0.34220298312841696,0.7095781103583915,1.155584015049128,0.3853283033249289,0.34220298312841696,P1
1,3,1,4,0,0.024949803796138936,0.023812618607122495,0.05509425619869012,0.084146679279999,0.3795603871617973,0.7700098053187073,1.1390787323732183,0.3826114872239551,0.3795603871617973,P1
1,4,0,0,0,0.02483937485058203,0.02486602622550037,0.055928044744279544,0.08372792119350254,0.3778804359416625,0.8040730139280191,1.1563173860025941,0.38070741144066333,0.3778804359416625,P1
1,5,0,0,1,0.09639292633922575,0.06904933857937418,0.10384645699001005,0.22647683301177102,1.4664218099637754,2.2327938239008436,2.147034895308069,1.0297808379587676,1.0297808379587676,P4
1,6,1,4,1,0.12305722647439324,0.0725137641882479,0.10944771649937345,0.2266750091554928,1.872064762725943,2.344820213465244,2.262841442520713,1.030681936727376,1.030681936727376,P4
2,1,0,0,1,0.3501396730430531,9.825446384550837,0.10183582501462013,0.2627003460730234,5.326661121138473,317.7176850039686,2.1054648972753043,1.194487660894993,1.194487660894993,P4
2,2,0,0,0,0.021759246266449202,9.789795815256847,0.026531643294583677,0.06184466735912618,0.3310225605269269,316.5648807544874,0.5485441259572046,0.28120515696655,0.28120515696655,P4
2,3,1,5,0,0.02568257694908695,9.79002316227596,0.027501653638687222,0.06287860202103618,0.3907080364141638,316.57223229514807,0.568599177597536,0.28590641531768984,0.28590641531768984,P4
2,4,0,0,0,0.022213400755529456,9.788004024757962,0.02663243171582954,0.06125847422055919,0.3379315949672396,316.5069410429428,0.5506279356867816,0.2785397608930902,0.2785397608930902,P4
2,5,0,0,1,0.49070493537955945,0.07220295968223378,0.21460104298896143,0.4966173057071782,7.465074947150224,2.3347699740893644,4.436895982990847,2.258098448371465,2.258098448371465,P4
2,6,1,5,1,0.42234193127134395,0.09591655427003609,0.1987524254560545,0.4470054400076349,6.4250712453626635,3.1015777180515856,4.109224381360606,2.03251533705112,2.03251533705112,P4
3,1,0,0,1,0.4237281808142232,0.36699899400441693,0.13554217817671352,0.3189283609834207,6.446160205319917,11.867356068138484,2.802346798980952,1.4501541303575785,1.4501541303575785,P4
3,2,0,0,0,0.09211155223987354,0.023425310806826846,0.08090420103381765,0.018337506191075933,1.40128943361274,0.7574857394515933,1.6727016773748562,0.08337988588236218,0.08337988588236218,P4
3,3,1,6,0,0.09332797130983957,0.02271063487585965,0.039164786046376236,0.019060886443174368,1.4197947692426236,0.7343758293846081,0.8097354955204061,0.08666906611445256,0.08666906611445256,P4
3,5,0,0,1,0.47646482220184166,0.16305030013260635,0.1256378366946098,0.701562387009981,7.248440663565243,5.2724285360498815,2.597573642597103,3.1899752975525857,2.597573642597103,P3
3,6,1,4,1,0.4636747986403338,0.10666560167505668,0.14286158044123642,0.7059025896296115,7.053866536470677,3.4491611584223896,2.953676103130822,3.2097100202220856,2.953676103130822,P3
4,1,0,0,1,0.44200301916202217,0.38201760533567136,0.15502665751091654,0.603177827041073,6.724174604763141,12.353001018747888,3.2051901723612035,2.7426247528647725,2.7426247528647725,P4
4,2,0,0,0,0.08051895037856151,0.0400964105696678,0.043794599155737496,0.04686037971394693,1.224931635906407,1.2965659008830754,0.9054573005070667,0.2130722177945072,0.2130722177945072,P4
4,3,1,4,0,0.0711808145740518,0.03106738571264455,0.04576836944613419,0.05796544967320717,1.082870941951064,1.00460146861796,0.9462651798669924,0.26356651381657925,0.26356651381657925,P4
